SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,OPP_PTS
2019-20,1610612747,LAL,Los Angeles Lakers,0021900151,2019-11-12T00:00:00,LAL @ PHX,W,48.0,51,95,0.537,10,25,0.4,11,21,0.524,8,36,44,39,10.0,4,4,4,21,22,123,8.0,1,1,1,1,3,2,10,7,41,62,20,61,44,69,54,28,46,1,5,67,50,37,35,31,16,33,115
2019-20,1610612747,LAL,Los Angeles Lakers,0021900139,2019-11-10T00:00:00,LAL vs. TOR,L,48.0,41,94,0.436,10,30,0.333,12,19,0.632,13,38,51,31,12.0,6,7,8,20,17,104,-9.0,1,53,53,53,3,42,11,59,41,46,37,57,52,63,13,17,10,9,12,56,25,68,28,59,52,60,113
2019-20,1610612747,LAL,Los Angeles Lakers,0021900126,2019-11-08T00:00:00,LAL vs. MIA,W,48.0,40,89,0.449,8,32,0.25,7,8,0.875,10,38,48,30,18.0,6,5,2,24,12,95,15.0,1,1,1,1,3,46,26,54,55,30,63,68,71,4,40,17,21,11,56,56,44,8,54,70,66,15,80
2019-20,1610612747,LAL,Los Angeles Lakers,0021900100,2019-11-05T00:00:00,LAL @ CHI,W,48.0,45,92,0.489,11,33,0.333,17,24,0.708,12,37,49,26,16.0,10,10,4,18,21,118,6.0,1,1,1,1,3,21,17,34,32,24,37,37,36,43,19,22,15,30,36,19,8,37,14,40,29,40,112
2019-20,1610612747,LAL,Los Angeles Lakers,0021900088,2019-11-03T00:00:00,LAL @ SAS,W,48.0,42,87,0.483,6,24,0.25,13,19,0.684,7,39,46,21,18.0,8,10,4,22,18,103,7.0,1,1,1,1,3,39,37,38,65,63,63,54,52,49,60,13,30,55,56,39,8,37,39,55,55,38,96
2019-20,1610612747,LAL,Los Angeles Lakers,0021900074,2019-11-01T00:00:00,LAL @ DAL,W,53.0,47,96,0.49,9,32,0.281,16,21,0.762,6,35,41,24,11.0,11,7,1,21,21,119,9.0,1,1,1,1,1,11,7,33,47,30,56,40,44,25,64,35,56,42,8,12,25,2,35,40,27,26,110
2019-20,1610612747,LAL,Los Angeles Lakers,0021900054,2019-10-29T00:00:00,LAL vs. MEM,W,48.0,40,86,0.465,7,26,0.269,33,39,0.846,10,44,54,25,18.0,9,8,3,19,27,120,29.0,1,1,1,1,3,46,45,44,60,58,57,1,2,7,40,2,6,35,56,26,18,23,23,8,22,3,91
2019-20,1610612747,LAL,Los Angeles Lakers,0021900040,2019-10-27T00:00:00,LAL vs. CHA,W,48.0,49,93,0.527,11,31,0.355,11,14,0.786,10,37,47,30,14.0,7,8,4,22,20,120,19.0,1,1,1,1,3,6,14,11,32,37,31,61,65,22,40,22,25,11,23,49,18,37,39,45,22,12,101
2019-20,1610612747,LAL,Los Angeles Lakers,0021900025,2019-10-25T00:00:00,LAL vs. UTA,W,48.0,34,86,0.395,8,26,0.308,19,24,0.792,11,31,42,19,14.0,14,9,2,21,25,95,9.0,1,1,1,1,3,67,45,68,55,58,48,28,36,21,29,57,52,63,23,1,13,8,35,17,66,26,86
2019-20,1610612747,LAL,Los Angeles Lakers,0021900002,2019-10-22T00:00:00,LAL @ LAC,L,48.0,37,85,0.435,13,33,0.394,15,21,0.714,9,32,41,20,15.0,4,7,5,24,25,102,-10.0,1,53,53,53,3,59,52,60,20,24,22,44,44,41,51,48,56,59,30,67,25,51,54,17,57,61,112
